NAME,TotalPopulation,1,2,3,4
1,89927,15828,0,0,74099
2,86438,0,0,0,86438
3,89147,0,0,0,89147
4,89557,0,0,0,89557
5,93417,0,11792,5802,75821
6,87992,0,8200,0,79791
7,87849,0,35168,0,52680
8,89181,31463,3,0,57714
9,86765,86765,0,0,0
10,92074,92063,11,0,0
11,83365,60111,23254,0,0
12,84021,10049,61422,0,12550
13,89634,29,89604,0,0
14,87331,0,87331,0,0
15,82760,0,65968,0,16791
16,83156,0,83156,0,0
17,91422,0,91422,0,0
18,89990,29,89961,0,0
19,103587,103587,0,0,0
20,69571,69571,0,0,0
21,85807,85807,0,0,0
22,82020,68702,13317,0,0
23,88427,88427,0,0,0
24,87891,20480,64837,0,2573
25,83689,0,19465,0,64224
26,82892,0,0,27640,55251
27,83782,0,0,83766,15
28,87335,27896,0,44456,14982
29,95933,0,0,95932,1
30,73918,0,0,73918,0
31,80247,0,0,80247,0
32,82371,0,0,82371,0
33,82276,0,0,82276,0
34,77033,0,0,77033,0
35,81052,0,0,81052,0
