NAME,TotalPopulation,1,2,3,4,5,6,7,8,9
1,201370,0,0,156173,45196,0,0,0,0,0
2,199006,6,131636,67363,0,0,0,0,0,0
3,203073,203073,0,0,0,0,0,0,0,0
4,214450,214449,0,0,0,0,0,0,0,0
5,195856,0,119332,76523,0,0,0,0,0,0
6,196355,12,196339,4,0,0,0,0,0,0
7,203663,0,203654,9,0,0,0,0,0,0
8,206848,130942,75905,0,0,0,0,0,0,0
9,213828,213817,11,0,0,0,0,0,0,0
10,211932,0,0,153392,58538,0,1,0,0,0
11,211320,0,0,211315,4,0,0,0,0,0
12,214197,0,22491,97961,2,0,93741,0,0,0
13,190083,0,0,0,190072,11,0,0,0,0
14,203759,0,0,0,189360,26,14372,0,0,0
15,203151,0,0,4,3,0,203143,0,0,0
16,206626,0,0,0,186222,0,20403,0,0,0
17,213108,0,0,0,3,136740,75336,1028,0,0
18,198579,0,0,0,0,1,198560,17,0,0
19,198377,0,0,0,21,62434,59305,76615,0,0
20,225818,0,0,0,0,124367,83247,18203,0,0
21,193839,0,0,0,0,107882,13328,72627,0,0
22,202660,0,0,0,0,0,0,202660,0,0
23,210688,0,0,0,0,4,17,210666,0,0
24,210891,0,0,0,0,0,0,32321,178569,0
25,204262,0,0,0,0,1,0,19681,184579,0
26,212412,0,0,0,43779,0,0,16639,151992,0
27,207347,0,0,0,10,123485,0,83851,0,0
28,194900,0,0,0,29406,165013,0,481,0,0
29,207582,0,0,0,0,0,0,0,1716,205866
30,197580,0,0,0,0,0,0,0,3370,194209
31,205138,0,0,0,0,0,0,0,144713,60424
32,208807,0,0,0,0,0,0,0,91948,116859
33,204748,0,0,0,0,0,0,0,4573,200175
